phnum,label
 417-7722, False.
 367-5226, True.
 344-5766, False.
 405-1370, False.
 368-9073, False.
 373-7974, True.
 371-4633, False.
 336-4960, False.
 405-5083, False.
 392-1105, False.
 378-2397, False.
 331-4184, False.
 376-2408, False.
 345-3614, False.
 370-9296, False.
 402-5076, False.
 401-7334, True.
 409-3428, False.
 362-2067, False.
 352-2270, False.
 404-5840, False.
 360-3126, False.
 364-8731, False.
 388-4331, False.
 335-7324, False.
 362-8886, False.
 410-4882, False.
 371-1139, False.
 391-5516, False.
 380-3186, False.
 347-9995, False.
 340-9013, False.
 362-8378, False.
 418-8969, False.
 417-1488, True.
 358-9898, False.
 373-7308, False.
 330-7137, False.
 406-8445, False.
 404-5283, False.
 398-3632, False.
 399-5763, False.
 340-9449, False.
 363-1123, False.
 361-2170, False.
 406-6304, False.
 392-5090, False.
 373-7713, False.
 392-1376, False.
 390-6388, False.
 379-7290, False.
 397-9928, False.
 378-6924, False.
 411-5677, False.
 400-2738, False.
 409-1856, True.
 362-5899, True.
 377-1164, False.
 368-8555, False.
 347-6812, False.
 348-3830, False.
 414-4276, False.
 370-3271, False.
 328-8230, False.
 364-6381, False.
 400-4344, False.
